,model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
931,Lucid 4G VS840,1.0,200.0,1700.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
932,Optimus M+ MS695,0.512,100.0,1300.0,1,0.8,5.0,0.0,4.0,24,0,1,0,3
933,Optimus 4X HD P880,1.0,220.0,2150.0,4,1.5,8.0,1.3,16.0,24,0,1,0,3
934,Optimus 3D Max P720,1.0,230.0,1520.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
935,Optimus L5 E610,0.512,120.0,1500.0,1,0.8,5.0,0.0,4.0,24,0,1,0,3
936,Optimus Vu F100S,1.0,240.0,2080.0,2,1.5,8.0,1.3,32.0,24,0,0,0,3
937,Optimus L3 E400,0.384,70.0,1500.0,1,0.8,3.15,0.0,1.0,24,0,1,0,3
938,Connect 4G MS840,1.0,110.0,1540.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
939,Viper 4G LTE LS840,1.0,140.0,1700.0,2,1.2,5.0,0.6,4.0,24,0,1,0,3
940,Spectrum VS920,1.0,130.0,1830.0,2,1.5,8.0,1.3,4.0,24,0,1,0,3
941,Prada 3.0,1.0,210.0,1540.0,2,1.0,8.0,1.3,8.0,24,0,1,0,3
942,Optimus 4G LTE P935,1.0,220.0,1830.0,2,1.5,8.0,1.3,2.0,24,0,1,0,3
943,Optimus LTE SU640,1.0,120.0,1830.0,2,1.5,8.0,1.3,4.0,24,0,1,0,3
944,Optimus LTE LU6200,1.0,140.0,1830.0,2,1.5,8.0,1.3,4.0,24,0,1,0,3
945,Optimus Q2 LU6500,1.0,120.0,1500.0,2,1.2,5.0,0.6,8.0,24,0,1,0,3
946,Optimus Sol E730,0.512,110.0,1500.0,1,1.0,5.0,0.6,2.0,24,0,1,0,3
947,Esteem MS910,0.512,150.0,1500.0,1,1.0,5.0,1.3,8.0,24,0,1,0,3
948,Optimus Black (White version),0.512,140.0,1500.0,1,1.0,5.0,2.0,2.0,24,0,1,0,3
949,Optimus Black P970,0.512,110.0,1500.0,1,1.0,5.0,2.0,2.0,24,0,1,0,3
950,Optimus 2X SU660,0.512,150.0,1500.0,2,1.0,8.0,1.3,8.0,24,0,1,0,3
951,Optimus 2X,0.512,150.0,1500.0,2,1.0,8.0,1.3,8.0,24,0,1,0,3
952,GW820 eXpo,0.256,90.0,1500.0,1,1.0,5.0,0.0,512.0,24,2,1,1,3
953,M5s,3.0,130.0,3000.0,8,1.3,13.0,5.0,32.0,28,0,0,0,2
954,Pro 6 Plus,4.0,550.0,3400.0,8,2.0,12.0,5.0,128.0,28,0,0,0,2
955,MX5e,3.0,190.0,3150.0,8,2.0,16.0,5.0,32.0,28,0,0,0,2
956,Pro 6s,4.0,430.0,3060.0,10,2.5,12.0,5.0,64.0,28,0,0,0,2
957,Pro 6,4.0,410.0,2560.0,10,2.5,21.0,5.0,64.0,28,0,0,0,3
958,M1 Metal,2.0,170.0,3140.0,8,2.0,13.0,5.0,32.0,28,0,0,0,2
959,PRO 5,3.0,390.0,3050.0,8,2.1,21.0,5.0,32.0,28,0,0,0,2
960,MX5,3.0,210.0,3150.0,8,2.2,20.7,5.0,64.0,28,0,0,0,2
961,M1,1.0,100.0,2500.0,4,1.5,13.0,5.0,8.0,28,0,0,0,3
962,MX3,2.0,370.0,2400.0,8,1.6,8.0,2.0,128.0,28,0,0,1,3
963,MX2,2.0,310.0,1800.0,4,1.6,8.0,1.2,64.0,28,0,0,0,3
964,MX 4-core,1.0,310.0,1700.0,4,1.4,8.0,0.6,64.0,28,0,0,1,3
965,MX,1.0,270.0,1600.0,2,1.4,8.0,0.6,16.0,28,0,0,0,3
966,Canvas Evok Note E453,3.0,140.0,4000.0,8,1.3,13.0,5.0,32.0,29,0,0,1,2
967,Dual 5,4.0,360.0,3200.0,8,1.8,13.0,13.0,128.0,29,0,0,0,2
968,Vdeo 4,1.0,90.0,4000.0,4,1.1,8.0,2.0,8.0,29,0,0,0,2
969,Canvas Amaze 2 E457,2.0,100.0,2500.0,8,1.4,13.0,5.0,16.0,29,0,1,1,3
970,Canvas 6 Pro E484,4.0,180.0,3000.0,8,2.0,13.0,5.0,16.0,29,0,0,0,2
971,Canvas Mega 4G Q417,3.0,150.0,2500.0,4,1.3,13.0,5.0,16.0,29,0,1,0,3
972,Canvas Fire 4G Plus Q412,1.0,90.0,2000.0,4,1.0,8.0,5.0,8.0,29,0,0,0,3
973,Canvas Nitro 3 E352,2.0,120.0,2500.0,8,1.4,13.0,5.0,16.0,29,0,1,0,3
974,Canvas 5 E481,3.0,170.0,2900.0,8,1.3,13.0,5.0,16.0,29,0,0,0,2
975,Canvas Xpress 2 E313,1.0,90.0,2500.0,8,1.4,13.0,2.0,8.0,29,0,1,0,3
976,Canvas Selfie Lens Q345,1.0,120.0,2800.0,4,1.3,8.0,5.0,8.0,29,0,0,0,2
977,Canvas Sliver 5 Q450,2.0,250.0,2000.0,4,1.2,8.0,5.0,16.0,29,0,0,1,3
978,Canvas Knight 2 E471,2.0,230.0,2260.0,8,1.5,13.0,5.0,16.0,29,0,0,0,3
979,Canvas A1 AQ4502,1.0,90.0,1700.0,4,1.3,5.0,2.0,8.0,29,0,1,0,3
980,Q391 Canvas Doodle 4,1.0,140.0,3000.0,4,1.3,8.0,2.0,8.0,29,0,0,0,2
981,Canvas Nitro 2 E311,2.0,150.0,2400.0,8,1.4,13.0,5.0,16.0,29,0,0,0,3
982,Q372 Unite 3,1.0,110.0,2000.0,4,1.3,8.0,2.0,8.0,29,0,1,0,3
983,Canvas Play Q355,1.0,110.0,2820.0,4,1.3,5.0,0.6,8.0,29,0,1,0,2
984,Canvas Spark Q380,1.0,70.0,2000.0,4,1.3,8.0,2.0,8.0,29,0,0,0,3
985,Canvas Juice 2 AQ5001,2.0,130.0,3000.0,4,1.3,8.0,2.0,8.0,29,0,0,0,2
986,Bolt A82,0.512,80.0,1800.0,2,1.3,5.0,0.6,4.0,29,0,1,0,3
987,Canvas Pep Q371,1.0,90.0,1700.0,4,1.3,5.0,0.6,8.0,29,0,1,0,3
988,Bolt A067,0.512,60.0,1300.0,2,1.3,2.0,0.6,4.0,29,0,1,0,3
989,Canvas Fire 4 A107,1.0,100.0,2000.0,4,1.3,8.0,2.0,8.0,29,0,0,0,3
990,Canvas Tab P470,1.0,90.0,3200.0,2,1.3,5.0,0.6,8.0,29,0,0,0,2
991,Canvas Selfie A255,2.0,240.0,2300.0,8,1.7,13.0,13.0,16.0,29,0,0,0,3
992,Canvas Hue,1.0,150.0,3000.0,4,1.3,8.0,2.0,8.0,29,0,1,0,2
993,A99 Canvas Xpress,1.0,110.0,1950.0,4,1.3,5.0,0.6,8.0,29,0,1,0,3
994,A290 Canvas Knight Cameo,1.0,150.0,2000.0,8,1.4,8.0,5.0,8.0,29,0,0,0,3
995,Canvas A1,1.0,80.0,1700.0,4,1.3,5.0,2.0,4.0,29,0,1,0,3
996,A310 Canvas Nitro,2.0,170.0,2500.0,8,1.7,13.0,5.0,8.0,29,0,1,0,3
997,A092 Unite,1.0,70.0,1500.0,4,1.2,5.0,0.6,8.0,29,0,1,0,3
998,A65 Bolt,0.512,70.0,2000.0,2,1.3,2.0,0.6,4.0,29,0,1,0,3
999,A108 Canvas L,1.0,140.0,2350.0,4,1.3,8.0,2.0,8.0,29,0,1,0,3
1000,A190 Canvas HD Plus,1.0,170.0,2000.0,6,1.5,8.0,2.0,8.0,29,0,1,0,3
1001,A300 Canvas Gold,2.0,300.0,2300.0,8,2.0,16.0,5.0,32.0,29,0,0,1,3
1002,Canvas Win W121,1.0,120.0,2000.0,4,1.2,8.0,2.0,8.0,29,2,1,0,3
1003,Canvas Win W092,1.0,80.0,1500.0,4,1.2,5.0,0.6,8.0,29,2,1,0,3
1004,A089 Bolt,0.512,60.0,2100.0,2,1.3,2.0,0.6,4.0,29,0,1,0,3
1005,A106 Unite 2,1.0,90.0,2000.0,4,1.3,5.0,2.0,8.0,29,0,1,0,3
1006,A105 Canvas Entice,0.512,90.0,1900.0,4,1.2,5.0,0.6,4.0,29,0,1,0,3
1007,A121 Canvas Elanza 2,1.0,120.0,2000.0,4,1.2,8.0,2.0,4.0,29,0,1,0,3
1008,A120 Canvas 2 Colors,1.0,110.0,2000.0,4,1.3,8.0,2.0,4.0,29,0,1,0,3
1009,A102 Canvas Doodle 3,1.0,100.0,2500.0,2,1.3,5.0,0.6,8.0,29,0,1,0,3
1010,A114R Canvas Beat,1.0,190.0,1900.0,4,1.2,8.0,2.0,4.0,29,0,1,0,3
1011,A350 Canvas Knight,2.0,240.0,2350.0,8,1.7,16.0,8.0,32.0,29,0,0,0,3
1012,Canvas Turbo Mini,1.0,170.0,1800.0,4,1.3,8.0,5.0,4.0,29,0,0,0,3
1013,A114 Canvas 2.2,1.0,150.0,2000.0,4,1.3,8.0,2.0,4.0,29,0,1,0,3
1014,A77 Canvas Juice,1.0,90.0,3000.0,2,1.3,5.0,0.6,4.0,29,0,1,0,2
1015,A117 Canvas Magnus,1.0,180.0,2000.0,4,1.5,12.0,2.0,4.0,29,0,1,0,3
1016,Canvas Turbo,2.0,240.0,2000.0,4,1.5,13.0,5.0,16.0,29,0,0,0,3
1017,Canvas Tab P650,1.0,170.0,4800.0,4,1.2,5.0,2.0,16.0,29,0,0,0,2
1018,A76,0.512,100.0,2000.0,2,1.2,5.0,0.6,4.0,29,0,1,0,3
1019,A74 Canvas Fun,0.512,90.0,1500.0,2,1.3,5.0,0.6,4.0,29,0,1,0,3
1020,A63 Canvas Fun,0.512,60.0,1500.0,2,1.3,2.0,0.6,4.0,29,0,1,0,3
1021,A240 Canvas Doodle 2,1.0,230.0,2600.0,4,1.2,12.0,5.0,16.0,29,0,1,0,3
1022,Canvas 4 A210,1.0,230.0,2000.0,4,1.2,13.0,5.0,16.0,29,0,1,0,3
1023,A110Q Canvas 2 Plus,1.0,180.0,2000.0,4,1.2,8.0,2.0,4.0,29,0,1,0,3
1024,A111 Canvas Doodle,0.512,190.0,2100.0,4,1.2,8.0,2.0,4.0,29,0,1,0,3
1025,A115 Canvas 3D,0.512,150.0,2000.0,2,1.2,5.0,0.6,4.0,29,0,1,0,3
1026,A116 Canvas HD,1.0,230.0,2000.0,4,1.2,8.0,2.0,4.0,29,0,1,0,3
1027,A110 Canvas 2,0.512,160.0,2000.0,2,1.0,8.0,0.6,4.0,29,0,1,0,3
1028,A89 Ninja,0.512,90.0,1450.0,2,1.0,3.15,0.0,2.0,29,0,1,0,3
1029,Funbook Infinity P275,0.512,70.0,4000.0,1,1.2,2.0,0.6,4.0,29,0,0,0,2
1030,Funbook Alfa P250,0.512,90.0,2800.0,1,1.0,0.6,0.0,4.0,29,0,0,0,2
1031,Funbook Pro,1.0,170.0,5600.0,1,1.2,0.6,0.0,8.0,29,0,0,0,1
1032,A100,0.512,160.0,2000.0,1,1.0,5.0,0.6,4.0,29,0,1,0,3
1033,A90s,0.512,190.0,1600.0,2,1.0,8.0,0.6,4.0,29,0,1,0,3
1034,A90,0.512,200.0,1600.0,1,1.0,8.0,0.6,4.0,29,0,1,0,3
1035,A85,0.512,270.0,1500.0,2,1.0,5.0,0.6,8.0,29,0,1,0,3
1036,Lumia 650,1.0,150.0,2000.0,4,1.3,8.0,5.0,16.0,30,2,1,0,3
1037,Lumia 950 XL Dual SIM,3.0,350.0,3340.0,8,1.5,20.0,5.0,32.0,30,2,1,0,2
1038,Lumia 950 XL,3.0,350.0,3340.0,8,1.5,20.0,5.0,32.0,30,2,1,0,2
1039,Lumia 950 Dual SIM,3.0,280.0,3000.0,6,1.4,20.0,5.0,32.0,30,2,1,0,2
1040,Lumia 950,3.0,280.0,3000.0,6,1.4,20.0,5.0,32.0,30,2,1,0,2
1041,Lumia 550,1.0,90.0,2100.0,4,1.1,5.0,2.0,8.0,30,2,1,0,3
1042,Lumia 540 Dual SIM,1.0,100.0,2200.0,4,1.2,8.0,5.0,8.0,30,2,1,0,3
1043,Lumia 430 Dual SIM,1.0,70.0,1500.0,2,1.2,2.0,0.6,8.0,30,2,1,0,3
1044,Lumia 640 XL LTE Dual SIM,1.0,200.0,3000.0,4,1.2,13.0,5.0,8.0,30,2,1,0,2
1045,Lumia 640 XL LTE,1.0,200.0,3000.0,4,1.2,13.0,5.0,8.0,30,2,1,0,2
1046,Lumia 640 XL Dual SIM,1.0,170.0,3000.0,4,1.2,13.0,5.0,8.0,30,2,1,0,2
1047,Lumia 640 XL,1.0,170.0,3000.0,4,1.2,13.0,5.0,8.0,30,2,1,0,2
1048,Lumia 640 LTE Dual SIM,1.0,150.0,2500.0,4,1.2,8.0,1.0,8.0,30,2,1,0,3
1049,Lumia 640 LTE,1.0,120.0,2500.0,4,1.2,8.0,1.0,8.0,30,2,1,0,3
1050,Lumia 640 Dual SIM,1.0,170.0,2500.0,4,1.2,8.0,1.0,8.0,30,2,1,0,3
1051,Lumia 532 Dual SIM,1.0,90.0,1560.0,4,1.2,5.0,0.6,8.0,30,2,1,0,3
1052,Lumia 532,1.0,90.0,1560.0,4,1.2,5.0,0.6,8.0,30,2,1,0,3
1053,Lumia 435 Dual SIM,1.0,70.0,1560.0,2,1.2,2.0,0.6,8.0,30,2,1,0,3
1054,Lumia 435,1.0,70.0,1560.0,2,1.2,2.0,0.6,8.0,30,2,1,0,3
1055,Lumia 535 Dual SIM,1.0,80.0,1905.0,4,1.2,5.0,5.0,8.0,30,2,1,0,3
1056,Lumia 535,1.0,80.0,1905.0,4,1.2,5.0,5.0,8.0,30,2,1,0,3
1057,Moto E4 Plus,3.0,190.0,5000.0,4,1.3,13.0,5.0,16.0,31,0,0,0,2
1058,Moto E4 Plus (USA),2.0,180.0,5000.0,4,1.4,13.0,5.0,32.0,31,0,0,0,2
1059,Moto E4,2.0,150.0,2800.0,4,1.3,8.0,5.0,16.0,31,0,1,0,2
1060,Moto E4 (USA),2.0,130.0,2800.0,4,1.4,8.0,5.0,16.0,31,0,1,0,2
1061,Moto E3 Power,2.0,130.0,3500.0,4,1.0,8.0,5.0,16.0,31,0,1,0,2
1062,Moto Z Play,3.0,350.0,3510.0,8,2.0,16.0,5.0,32.0,31,0,0,0,2
1063,Moto E3,1.0,120.0,2800.0,4,1.0,8.0,5.0,8.0,31,0,1,0,2
1064,Moto Z Force,4.0,720.0,3500.0,4,2.15,21.0,5.0,64.0,31,0,0,0,2
1065,Moto Z,4.0,540.0,2600.0,4,2.15,13.0,5.0,64.0,31,0,0,0,3
1066,Moto G4,2.0,190.0,3000.0,8,1.5,13.0,5.0,32.0,31,0,0,0,2
1067,Moto G Turbo Edition,2.0,280.0,2470.0,8,1.5,13.0,5.0,16.0,31,0,0,0,3
1068,Moto X Force,3.0,330.0,3760.0,8,1.5,21.0,5.0,64.0,31,0,0,0,2
1069,Droid Turbo 2,3.0,390.0,3760.0,8,1.5,21.0,5.0,64.0,31,0,0,0,2
1070,Moto G Dual SIM (3rd gen),1.0,170.0,2470.0,4,1.4,13.0,5.0,8.0,31,0,0,0,3
1071,Moto G (3rd gen),1.0,170.0,2470.0,4,1.4,13.0,5.0,8.0,31,0,0,0,3
1072,Moto E Dual SIM (2nd gen),1.0,100.0,2390.0,4,1.2,5.0,0.6,8.0,31,0,0,0,3
1073,Moto E (2nd gen),1.0,130.0,2390.0,4,1.2,5.0,0.6,8.0,31,0,0,0,3
1074,Moto G 4G (2nd gen),1.0,210.0,2390.0,4,1.2,8.0,2.0,8.0,31,0,0,0,3
1075,Moto G 4G Dual SIM (2nd gen),1.0,240.0,2390.0,4,1.2,8.0,2.0,16.0,31,0,0,0,3
1076,Moto Maxx,3.0,300.0,3900.0,4,2.7,21.0,2.0,64.0,31,0,0,1,2
1077,DROID Turbo,3.0,290.0,3900.0,4,2.7,21.0,2.0,64.0,31,0,0,1,2
1078,Nexus 6,3.0,420.0,3220.0,4,2.7,13.0,2.0,64.0,31,0,0,1,2
1079,Moto G Dual SIM (2nd gen),1.0,200.0,2070.0,4,1.2,8.0,2.0,16.0,31,0,0,0,3
1080,Moto G (2nd gen),1.0,160.0,2070.0,4,1.2,8.0,2.0,8.0,31,0,0,0,3
1081,Moto G 4G,1.0,160.0,2070.0,4,1.2,5.0,1.3,8.0,31,0,0,0,3
1082,Luge,1.0,240.0,2000.0,2,1.5,8.0,0.6,8.0,31,0,0,0,3
1083,Moto E,1.0,100.0,1980.0,2,1.2,5.0,0.0,4.0,31,0,0,0,3
1084,Moto E Dual SIM,1.0,90.0,1980.0,2,1.2,5.0,0.0,4.0,31,0,0,0,3
1085,Moto G Dual SIM,1.0,140.0,2070.0,4,1.2,5.0,1.3,16.0,31,0,0,0,3
1086,Moto G,1.0,130.0,2070.0,4,1.2,5.0,1.3,16.0,31,0,0,0,3
1087,Moto X,2.0,250.0,2200.0,2,1.7,10.0,2.0,64.0,31,0,0,0,3
1088,DROID Ultra,2.0,250.0,2130.0,2,1.7,10.0,2.0,16.0,31,0,0,0,3
1089,DROID Maxx,2.0,220.0,3500.0,2,1.7,10.0,2.0,32.0,31,0,1,0,2
1090,DROID Mini,2.0,180.0,2000.0,2,1.7,10.0,2.0,16.0,31,0,0,0,3
1091,RAZR D3 XT919,1.0,230.0,2000.0,2,1.2,8.0,1.2,4.0,31,0,0,0,3
1092,RAZR D1,1.0,150.0,1785.0,1,1.0,5.0,0.0,4.0,31,0,1,0,3
1093,RAZR i XT890,1.0,180.0,2000.0,1,2.0,8.0,0.6,8.0,31,0,0,0,3
1094,DROID RAZR MAXX HD,1.0,270.0,3300.0,2,1.5,8.0,1.3,32.0,31,0,0,0,2
1095,DROID RAZR HD,1.0,250.0,2530.0,2,1.5,8.0,1.3,16.0,31,0,0,1,3
1096,DROID RAZR M,1.0,250.0,2000.0,2,1.5,8.0,0.6,8.0,31,0,0,0,3
1097,RAZR M XT905,1.0,250.0,2000.0,2,1.5,8.0,0.6,8.0,31,0,0,0,3
1098,Electrify 2 XT881,1.0,260.0,1780.0,2,1.2,8.0,0.6,8.0,31,0,0,0,3
1099,ATRIX HD MB886,1.0,220.0,1780.0,2,1.5,8.0,1.3,8.0,31,0,0,0,3
1100,ATRIX TV XT682,0.512,230.0,1700.0,1,1.0,8.0,0.6,1.0,31,0,1,0,3
1101,RAZR V XT885,1.0,210.0,1750.0,2,1.2,8.0,0.6,4.0,31,0,0,0,3
1102,RAZR V XT889,1.0,210.0,1780.0,2,1.2,8.0,0.6,4.0,31,0,0,0,3
1103,RAZR MAXX,1.0,230.0,3300.0,2,1.2,8.0,1.3,16.0,31,0,0,0,2
1104,DEFY XT535,0.512,130.0,1650.0,1,1.0,5.0,0.6,1.0,31,0,1,0,3
1105,DROID 4 XT894,1.0,260.0,1785.0,2,1.2,8.0,1.3,16.0,31,0,0,0,3
1106,DROID RAZR MAXX,1.0,260.0,3300.0,2,1.2,8.0,1.3,8.0,31,0,0,0,2
1107,Motoluxe,0.512,180.0,1400.0,1,0.8,8.0,0.6,1.0,31,0,1,0,3
1108,DROID XYBOARD 8.2 MZ609 ,1.0,290.0,3960.0,2,1.2,5.0,1.3,32.0,31,0,0,0,2
1109,DROID XYBOARD 10.1 MZ617,1.0,260.0,7000.0,2,1.2,5.0,1.3,64.0,31,0,0,0,1
1110,MOTO XT615,0.512,120.0,1390.0,1,0.8,8.0,0.6,1.0,31,0,1,0,3
1111,XOOM 2 Media Edition 3G MZ608,1.0,210.0,3960.0,2,1.2,5.0,1.3,16.0,31,0,0,0,2
1112,XOOM 2 Media Edition MZ607,1.0,210.0,3960.0,2,1.2,5.0,1.3,32.0,31,0,0,0,2
1113,XOOM 2 3G MZ616,1.0,210.0,7000.0,2,1.2,5.0,1.3,32.0,31,0,0,0,1
1114,XOOM 2 MZ615,1.0,210.0,7000.0,2,1.2,5.0,1.3,32.0,31,0,0,0,1
1115,RAZR XT910,1.0,220.0,1780.0,2,1.2,8.0,1.3,16.0,31,0,0,0,3
1116,DROID RAZR XT912,1.0,220.0,1780.0,2,1.2,8.0,2.0,16.0,31,0,0,0,3
1117,Admiral XT603,0.512,160.0,1860.0,1,1.2,5.0,0.0,4.0,31,0,1,0,3
1118,DEFY+,0.512,170.0,1700.0,1,1.0,5.0,0.0,2.0,31,0,1,1,3
1119,MILESTONE 3 XT860,0.512,180.0,1540.0,2,1.0,8.0,0.6,8.0,31,0,1,0,3
1120,DROID 3,0.512,200.0,1540.0,2,0.0,8.0,0.6,16.0,31,0,1,0,3
1121,Triumph,0.512,210.0,1400.0,1,1.0,5.0,0.6,2.0,31,0,1,0,3
1122,Photon 4G MB855,1.0,270.0,1700.0,2,1.0,8.0,0.6,16.0,31,0,1,0,3
1123,MOTO MT870,0.512,180.0,1880.0,2,1.0,8.0,0.6,4.0,31,0,1,0,3
1124,Milestone XT883,0.512,230.0,1500.0,2,1.0,8.0,0.6,16.0,31,0,1,0,3
1125,MOTO XT882,0.512,230.0,1880.0,2,1.0,8.0,0.6,8.0,31,0,1,0,3
1126,ATRIX,1.0,170.0,1930.0,2,1.0,5.0,0.6,16.0,31,0,1,1,3
1127,ATRIX 4G,1.0,190.0,1930.0,2,1.0,5.0,0.6,16.0,31,0,1,1,3
1128,DROID BIONIC XT875,0.512,210.0,1735.0,2,1.0,8.0,0.6,16.0,31,0,1,0,3
1129,DROID X ME811,0.512,150.0,1540.0,1,1.2,8.0,0.0,1.0,31,0,1,1,3
1130,DROID BIONIC XT865,0.512,250.0,1930.0,2,1.0,8.0,0.6,16.0,31,0,1,0,3
1131,MOTO ME525,0.512,150.0,1500.0,1,0.8,5.0,0.0,2.0,31,0,1,0,3
1132,MILESTONE 2 ME722,0.512,110.0,1390.0,1,1.0,5.0,0.0,8.0,31,0,1,1,3
1133,DROID 2 Global,0.512,200.0,1420.0,1,1.2,5.0,0.0,8.0,31,0,1,1,3
1134,DROID PRO XT610,0.512,110.0,1420.0,1,1.0,5.0,0.0,2.0,31,0,1,0,3
1135,BRAVO MB520,0.512,150.0,1540.0,1,0.8,3.15,0.0,2.0,31,0,1,0,3
1136,DEFY,0.512,110.0,1540.0,1,0.8,5.0,0.0,2.0,31,0,1,1,3
1137,MILESTONE 2,0.512,170.0,1400.0,1,1.0,5.0,0.0,8.0,31,0,1,1,3
1138,DROID X2,0.512,230.0,1540.0,2,1.0,8.0,0.0,8.0,31,0,1,0,3
1139,DROID X,0.512,150.0,1540.0,1,1.0,8.0,0.0,6.5,31,0,1,1,3
1140,DEXT MB220,0.256,130.0,1420.0,1,0.528,5.0,0.0,1.0,31,0,1,0,3
1141,Terrain,1.0,330.0,1900.0,2,1.5,5.0,0.6,8.0,32,0,1,0,3
1142,3,2.0,160.0,2630.0,4,1.4,8.0,8.0,16.0,33,0,0,0,3
1143,5,2.0,200.0,3000.0,8,1.4,13.0,8.0,16.0,33,0,0,0,2
1144,Lumia 638,1.0,100.0,1830.0,4,1.2,5.0,0.0,8.0,33,2,1,0,3
1145,N1,2.0,320.0,5300.0,4,2.3,8.0,5.0,32.0,33,0,0,0,2
1146,Lumia 730 Dual SIM,1.0,170.0,2200.0,4,1.2,6.7,5.0,8.0,33,2,1,0,3
1147,Lumia 735,1.0,220.0,2200.0,4,1.2,6.7,5.0,8.0,33,2,1,0,3
1148,Lumia 830,1.0,330.0,2200.0,4,1.2,10.0,0.9,16.0,33,2,1,0,3
1149,Lumia 530 Dual SIM,0.512,100.0,1430.0,4,1.2,5.0,0.0,4.0,33,2,1,0,3
1150,Lumia 530,0.512,100.0,1430.0,4,1.2,5.0,0.0,4.0,33,2,1,0,3
1151,X2 Dual SIM,1.0,90.0,1800.0,2,1.2,5.0,0.6,4.0,33,0,1,0,3
1152,Lumia 930,2.0,370.0,2420.0,4,2.2,20.0,1.2,32.0,33,2,0,0,3
1153,Lumia 630 Dual SIM,0.512,140.0,1830.0,4,1.2,5.0,0.0,8.0,33,2,1,0,3
1154,Lumia 630,0.512,110.0,1830.0,4,1.2,5.0,0.0,8.0,33,2,1,0,3
1155,XL,0.768,100.0,2000.0,2,1.0,5.0,2.0,4.0,33,0,1,0,3
1156,X+,0.768,120.0,1500.0,2,1.0,3.15,0.0,4.0,33,0,1,0,3
1157,X,0.512,100.0,1500.0,2,1.0,3.15,0.0,4.0,33,0,1,0,3
1158,Lumia Icon,2.0,400.0,2420.0,4,2.2,20.0,1.2,32.0,33,2,0,0,3
1159,Lumia 525,1.0,120.0,1430.0,2,1.0,5.0,0.0,8.0,33,2,1,0,3
1160,Lumia 1520,2.0,350.0,3400.0,4,2.2,20.0,1.2,32.0,33,2,0,0,2
1161,Lumia 1320,1.0,210.0,3400.0,2,1.7,5.0,0.6,8.0,33,2,0,0,2
1162,Lumia 625,0.512,160.0,2000.0,2,1.2,5.0,0.6,8.0,33,2,0,0,3
1163,Lumia 928,1.0,380.0,2000.0,2,1.5,8.0,1.3,32.0,33,2,0,0,3
1164,Lumia 720,0.512,200.0,2000.0,2,1.0,6.7,1.3,8.0,33,2,0,0,3
1165,Lumia 520,0.512,70.0,1430.0,2,1.0,5.0,0.0,8.0,33,2,1,0,3
1166,Lumia 505,0.256,140.0,1300.0,1,0.8,8.0,0.0,4.0,33,2,1,0,3
1167,Lumia 620,0.512,120.0,1300.0,2,1.0,5.0,0.6,8.0,33,2,1,0,3
1168,Lumia 822,1.0,320.0,1800.0,2,1.5,8.0,1.2,16.0,33,2,1,0,3
1169,Lumia 510,0.256,110.0,1300.0,1,0.8,5.0,0.0,4.0,33,2,1,0,3
1170,Lumia 810,1.0,250.0,1800.0,2,1.5,8.0,1.2,8.0,33,2,1,0,3
1171,Lumia 920,1.0,210.0,2000.0,2,1.5,8.0,1.3,32.0,33,2,0,0,3
1172,Lumia 820,1.0,170.0,1650.0,2,1.5,8.0,0.6,8.0,33,2,1,0,3
1173,Lumia 610 NFC,0.256,110.0,1300.0,1,0.8,5.0,0.0,8.0,33,2,1,0,3
1174,800c,0.512,170.0,1450.0,1,1.4,8.0,0.0,16.0,33,2,1,0,3
1175,Lumia 610,0.256,90.0,1300.0,1,0.8,5.0,0.0,8.0,33,2,1,0,3
1176,Lumia 900,0.512,160.0,1830.0,1,1.4,8.0,1.0,16.0,33,2,0,0,3
1177,Lumia 900 AT&T,0.512,160.0,1830.0,1,1.4,8.0,1.3,16.0,33,2,0,0,3
1178,Lumia 800,0.512,140.0,1450.0,1,1.4,8.0,0.0,16.0,33,2,0,0,3
1179,Lumia 710 T-Mobile,0.512,130.0,1300.0,1,1.4,5.0,0.0,8.0,33,2,1,0,3
1180,Lumia 710,0.512,100.0,1300.0,1,1.4,5.0,0.0,8.0,33,2,1,0,3
1181,Shield K1,2.0,200.0,5200.0,4,2.2,5.0,5.0,16.0,34,0,0,0,2
1182,3T,6.0,440.0,3400.0,4,2.35,16.0,16.0,128.0,35,0,0,0,2
1183,3,6.0,400.0,3000.0,4,2.15,16.0,8.0,64.0,35,0,0,0,2
1184,X,3.0,270.0,2525.0,4,2.3,13.0,8.0,16.0,35,0,0,1,3
1185,2,3.0,300.0,3300.0,8,1.56,13.0,5.0,16.0,35,0,0,1,2
1186,One,3.0,250.0,3100.0,4,2.5,13.0,5.0,64.0,35,0,0,1,2
1187,R11 Plus,6.0,500.0,4000.0,8,2.2,20.0,20.0,64.0,36,0,0,1,2
1188,R11,4.0,400.0,3000.0,8,2.2,20.0,20.0,64.0,36,0,0,1,2
1189,A77,4.0,330.0,3200.0,8,1.5,13.0,16.0,64.0,36,0,0,0,2
1190,A57,3.0,260.0,2900.0,8,1.4,13.0,16.0,32.0,36,0,0,0,2
1191,R9s Plus,6.0,570.0,4000.0,8,1.95,16.0,16.0,64.0,36,0,0,1,2
