brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
Acer,Liquid Z3,Android,0.512,100.0,True,Li-Ion,1500.0,2,1.0,3.15,0.0,4.0
Acer,Liquid S1,Android,1.0,320.0,True,Li-Po,2400.0,4,1.5,8.0,2.0,8.0
Acer,Iconia Tab A3,Android,1.0,190.0,False,Li-Po,7300.0,4,1.2,5.0,0.6,32.0
Acer,Iconia Tab A1-811,Android,1.0,150.0,False,Li-Ion,4960.0,4,1.2,5.0,0.6,8.0
Acer,Iconia Tab A1-810,Android,1.0,120.0,False,Li-Ion,4960.0,4,1.2,5.0,0.6,16.0
Acer,Liquid E2,Android,1.0,180.0,True,Li-Ion,2000.0,4,1.2,8.0,2.0,4.0
Acer,Liquid Z2,Android,0.512,100.0,True,Li-Ion,1300.0,1,1.0,3.0,0.0,4.0
Acer,Liquid C1,Android,1.0,180.0,True,Li-Ion,2000.0,1,1.2,8.0,0.6,4.0
Acer,Liquid E1,Android,1.0,170.0,True,Li-Ion,1760.0,2,1.0,5.0,0.6,4.0
Acer,Iconia Tab B1-A71,Android,0.512,100.0,False,Li-Po,2710.0,2,1.2,0.6,0.0,16.0
Acer,Iconia Tab A110,Android,1.0,150.0,False,Li-Po,3420.0,4,1.2,2.0,0.0,8.0
Acer,Liquid Z110,Android,0.512,100.0,True,Li-Po,1300.0,1,1.0,3.15,0.0,4.0
Acer,Liquid Gallant E350,Android,1.0,160.0,True,Li-Ion,1500.0,1,1.0,5.0,0.0,4.0
Acer,Liquid Gallant Duo,Android,1.0,140.0,True,Li-Ion,1500.0,1,1.0,5.0,0.0,4.0
Acer,Liquid Glow E330,Android,0.512,120.0,True,Li-Ion,1300.0,1,1.0,5.0,0.0,1.0
Acer,Iconia Tab A210,Android,1.0,260.0,False,Li-Po,3260.0,4,1.2,2.0,0.0,16.0
Acer,Iconia Tab A200,Android,1.0,200.0,False,Li-Po,3260.0,2,1.0,2.0,0.0,16.0
Acer,Iconia Tab A511,Android,1.0,250.0,False,Li-Po,9800.0,4,1.3,5.0,1.0,32.0
Acer,Iconia Tab A510,Android,1.0,230.0,False,Li-Po,9800.0,4,1.3,5.0,1.0,32.0
Acer,Iconia Tab A501,Android,1.0,490.0,False,Li-Po,3260.0,2,1.0,5.0,2.0,64.0
Acer,Iconia Smart,Android,0.512,220.0,True,Li-Po,1500.0,1,1.0,8.0,2.0,8.0
Acer,Iconia Tab A500,Android,1.0,200.0,False,Li-Po,3260.0,2,1.0,5.0,2.0,32.0
Acer,Iconia Tab A101,Android,1.0,260.0,False,Li-Po,1530.0,2,1.0,5.0,2.0,16.0
Acer,Iconia Tab A100,Android,1.0,100.0,False,Li-Po,1530.0,2,1.0,5.0,2.0,16.0
Acer,Stream,Android,0.512,130.0,True,Li-Ion,1400.0,1,1.0,5.0,0.0,2.0
alcatel,A3 XL,Android,2.0,120.0,False,Li-Ion,3000.0,4,1.1,8.0,5.0,16.0
alcatel,Shine Lite,Android,2.0,200.0,False,Li-Ion,2460.0,4,1.3,13.0,5.0,16.0
alcatel,Fierce 4,Android,2.0,80.0,False,Li-Ion,2500.0,4,1.1,8.0,5.0,16.0
alcatel,X1,Android,2.0,250.0,False,Li-Po,2150.0,8,1.4,13.0,5.0,16.0
alcatel,Pop 4+,Android,1.5,110.0,True,Li-Ion,2500.0,4,1.1,8.0,5.0,16.0
alcatel,Pop 4,Android,1.0,80.0,True,Li-Ion,2500.0,4,1.1,8.0,5.0,8.0
alcatel,Idol 4s Windows,Windows,4.0,440.0,False,Li-Ion,3000.0,4,2.15,21.0,8.0,64.0
alcatel,Idol 4s,Android,3.0,350.0,False,Li-Ion,3000.0,8,1.8,16.0,8.0,32.0
alcatel,Pixi 4 (4),Android,0.512,60.0,True,Li-Ion,1500.0,4,1.3,2.0,0.6,4.0
alcatel,Fierce XL,Android,2.0,130.0,False,Li-Ion,2500.0,4,1.1,8.0,2.0,16.0
alcatel,Flash 2,Android,2.0,230.0,False,Li-Ion,3000.0,8,1.3,13.0,5.0,16.0
alcatel,Flash Plus,Android,2.0,130.0,True,Li-Ion,3500.0,8,1.5,13.0,8.0,16.0
alcatel,Pop Astro,Android,1.0,130.0,True,Li-Ion,2000.0,4,1.5,5.0,0.6,4.0
alcatel,Pixi 3 (8) 3G,Android,1.0,100.0,False,Li-Ion,3240.0,2,1.3,2.0,0.6,4.0
alcatel,Pixi 3 (7) LTE,Android,1.0,130.0,False,Li-Ion,2820.0,4,1.1,2.0,0.6,4.0
alcatel,Pixi 3 (7) 3G,Android,0.512,100.0,False,Li-Ion,2820.0,2,1.3,2.0,0.6,4.0
alcatel,Pixi 3 (7),Android,0.512,80.0,False,Li-Ion,2820.0,4,1.3,2.0,0.6,4.0
alcatel,POP 10,Android,1.0,250.0,False,Li-Ion,4600.0,4,1.2,5.0,2.0,8.0
alcatel,Pixi 3 (4.5),Android,0.512,60.0,True,Li-Ion,1400.0,2,1.0,5.0,0.6,4.0
alcatel,Pixi 3 (4),Android,0.512,50.0,True,Li-Ion,1400.0,2,1.0,2.0,0.6,4.0
alcatel,Pop 2 (4.5) Dual SIM,Android,1.0,180.0,True,Li-Ion,2000.0,4,1.2,5.0,0.6,8.0
alcatel,Pop 2 (4.5),Android,1.0,130.0,True,Li-Ion,2000.0,4,1.2,5.0,0.6,8.0
alcatel,POP 8S,Android,1.0,250.0,False,Li-Ion,4100.0,4,1.2,5.0,3.0,8.0
alcatel,Hero 8,Android,2.0,280.0,False,Li-Ion,4060.0,8,2.0,5.0,2.0,32.0
alcatel,Hero 2,Android,2.0,460.0,False,Li-Ion,3100.0,8,2.0,13.1,5.0,16.0
alcatel,POP 7S,Android,1.0,190.0,False,Li-Ion,3240.0,4,1.2,3.0,0.6,4.0
alcatel,POP 7,Android,1.0,160.0,False,Li-Ion,3240.0,2,1.3,2.0,0.6,4.0
alcatel,Fierce,Android,1.0,110.0,True,Li-Ion,1800.0,4,1.2,5.0,0.6,4.0
alcatel,Evolve,Android,0.512,70.0,True,Li-Ion,1400.0,1,1.0,5.0,0.6,4.0
alcatel,Pop C3,Android,0.512,80.0,True,Li-Ion,1300.0,2,1.3,5.0,0.6,4.0
alcatel,Idol Alpha,Android,1.0,360.0,False,Li-Ion,2000.0,4,1.2,13.0,1.3,16.0
alcatel,Idol S,Android,1.0,160.0,False,Li-Ion,2000.0,2,1.2,8.0,1.3,4.0
alcatel,One Touch T10,Android,1.0,130.0,False,Li-Ion,3000.0,1,1.0,0.6,0.0,4.0
alcatel,Idol X,Android,2.0,370.0,False,Li-Ion,2000.0,4,1.5,13.1,2.1,16.0
alcatel,One Touch Star,Android,0.512,220.0,True,Li-Ion,1500.0,2,1.0,5.0,0.6,4.0
alcatel,One Touch Scribe Easy,Android,0.512,170.0,True,Li-Ion,2500.0,2,1.2,5.0,0.6,4.0
alcatel,One Touch Idol Ultra,Android,1.0,270.0,False,Li-Ion,1800.0,2,1.2,8.0,1.3,16.0
alcatel,One Touch X'Pop,Android,0.512,150.0,True,Li-Ion,1800.0,2,1.0,5.0,0.6,4.0
alcatel,One Touch Scribe HD-LTE,Android,1.0,350.0,True,Li-Ion,2500.0,4,1.2,8.0,1.3,4.0
alcatel,One Touch Scribe X,Android,1.0,620.0,True,Li-Ion,2500.0,4,1.2,12.0,1.0,4.0
alcatel,OT-997D,Android,1.0,280.0,True,Li-Ion,1800.0,2,1.0,8.0,0.6,4.0
alcatel,OT-997,Android,1.0,250.0,True,Li-Ion,1800.0,2,1.0,8.0,0.6,4.0
alcatel,OT-986,Android,1.0,250.0,True,Li-Ion,1800.0,2,1.5,5.0,2.0,8.0
alcatel,OT-995,Android,0.512,220.0,True,Li-Ion,1500.0,1,1.4,5.0,0.6,2.0
Allview,X4 Soul,Android,4.0,420.0,False,Li-Po,3000.0,8,2.0,13.0,13.0,64.0
Allview,X3 Soul Pro,Android,4.0,450.0,False,Li-Po,3000.0,8,2.0,16.0,8.0,64.0
Allview,P8 Energy Pro,Android,3.0,420.0,False,Li-Po,5020.0,8,1.3,13.0,5.0,64.0
Allview,X3 Soul,Android,3.0,300.0,False,Li-Po,3150.0,8,1.3,13.0,5.0,32.0
Allview,X2 Soul Style + Platinum,Android,3.0,200.0,False,Li-Po,2350.0,4,1.3,13.0,5.0,16.0
Allview,X2 Soul Style,Android,2.0,180.0,False,Li-Po,2350.0,4,1.3,13.0,5.0,16.0
Allview,X2 Soul Lite,Android,1.0,160.0,True,Li-Po,2400.0,4,1.3,8.0,5.0,16.0
Allview,V2 Viper X+,Android,3.0,300.0,True,Li-Po,3150.0,8,1.3,13.0,5.0,16.0
Allview,V2 Viper X,Android,1.0,250.0,True,Li-Po,3150.0,8,1.3,13.0,5.0,16.0
Allview,V2 Viper,Android,1.0,200.0,True,Li-Ion,2000.0,4,1.3,8.0,5.0,16.0
Allview,V2 Viper i,Android,1.0,120.0,True,Li-Ion,2000.0,4,1.3,5.0,2.0,16.0
Allview,P8 Energy mini,Android,2.0,170.0,True,Li-Ion,4000.0,4,1.3,8.0,5.0,16.0
Allview,P5 Pro,Android,1.0,130.0,True,Li-Ion,1700.0,4,1.0,5.0,0.6,8.0
Allview,P6 Pro,Android,1.0,100.0,False,Li-Ion,3140.0,4,1.0,8.0,5.0,8.0
Allview,P8 Energy,Android,2.0,300.0,False,Li-Po,6000.0,4,1.3,13.0,5.0,16.0
Allview,P5 Energy,Android,1.0,140.0,True,Li-Po,4000.0,4,1.0,5.0,2.0,16.0
Allview,E4,Android,2.0,240.0,True,Li-Po,2100.0,8,1.3,13.0,5.0,16.0
Allview,E3 Living,Android,1.0,140.0,True,Li-Ion,1850.0,4,1.0,8.0,2.0,8.0
Allview,X2 Xtreme,Android,3.0,490.0,False,Li-Po,3500.0,8,2.0,24.0,8.0,64.0
Allview,C5 Smiley,Android,0.512,80.0,True,Li-Ion,1400.0,2,1.3,3.15,0.6,4.0
Allview,C6 Quad 4G,Android,1.0,140.0,True,Li-Ion,1800.0,4,1.3,5.0,0.6,8.0
Allview,E2 Living,Android,0.512,90.0,True,Li-Po,1350.0,2,1.3,3.15,0.6,4.0
Allview,Twin X2,Android,1.0,230.0,False,Li-Po,1920.0,8,1.4,8.0,2.0,8.0
Allview,P7 Seon,Android,1.0,230.0,True,Li-Ion,2400.0,6,1.5,8.0,2.0,8.0
Allview,X1 Xtreme Mini,Android,2.0,300.0,False,Li-Po,2200.0,4,2.15,16.0,4.0,16.0
Allview,X2 Soul Mini,Android,1.0,230.0,False,Li-Ion,2050.0,8,1.7,8.0,5.0,16.0
Allview,Impera M,Windows,0.512,90.0,True,Li-Ion,1420.0,4,1.2,5.0,0.6,4.0
Allview,Impera S,Windows,1.0,170.0,True,Li-Ion,2000.0,4,1.2,8.0,2.0,8.0
Allview,Impera i,Windows,1.0,160.0,True,Li-Po,1750.0,4,1.2,8.0,2.0,8.0
Allview,A6 Quad,Android,0.512,130.0,True,Li-Ion,1500.0,4,1.2,5.0,0.6,4.0
Allview,X2 Soul,Android,2.0,340.0,False,Li-Ion,2300.0,8,1.7,13.0,5.0,16.0
Allview,X1 Xtreme,Android,3.0,470.0,False,Li-Po,2500.0,4,2.15,16.0,8.0,32.0
Allview,V1 Viper S,Android,2.0,310.0,True,Li-Ion,2500.0,4,1.4,13.0,5.0,16.0
Allview,Viva Q7 Life,Android,1.0,90.0,False,Li-Po,3000.0,4,1.0,0.6,0.0,8.0
Allview,City Life,Android,0.512,70.0,False,Li-Po,3000.0,2,1.5,0.6,0.0,8.0
Allview,2 Speed Quad,Android,1.0,120.0,False,Li-Po,4400.0,4,1.0,2.0,0.6,8.0
Allview,City+,Android,0.512,80.0,False,Li-Po,3000.0,2,1.5,0.6,0.0,8.0
Allview,Viva H8,Android,1.0,190.0,False,Li-Po,4000.0,4,1.2,5.0,2.0,8.0
Allview,Viva Q8,Android,1.0,150.0,False,Li-Po,4000.0,4,1.0,5.0,0.6,8.0
Allview,P6 Quad Plus,Android,1.0,220.0,True,Li-Po,2100.0,4,1.5,8.0,1.0,4.0
Allview,A5 Quad,Android,0.512,130.0,True,Li-Ion,1700.0,4,1.3,5.0,0.6,4.0
Allview,P5 Symbol,Android,0.512,160.0,True,Li-Ion,1700.0,2,1.2,5.0,0.6,4.0
Allview,X1 Soul Mini,Android,1.0,270.0,False,Li-Po,3000.0,4,1.5,8.0,2.0,16.0
Allview,X1 Soul,Android,2.0,360.0,False,Li-Po,2000.0,4,1.5,13.0,5.0,32.0
Allview,A5 Duo,Android,0.512,100.0,True,Li-Ion,1700.0,2,1.2,3.15,0.6,4.0
Allview,H2 Qubo,Android,0.512,120.0,True,Li-Ion,1800.0,4,1.2,5.0,0.6,4.0
Allview,Viper i V1,Android,1.0,200.0,True,Li-Ion,1800.0,4,1.3,8.0,2.0,8.0
Allview,Viper V1,Android,1.0,230.0,True,Li-Ion,1800.0,4,1.2,8.0,2.0,16.0
Allview,P5 Qmax,Android,1.0,230.0,True,Li-Ion,3000.0,4,1.2,8.0,1.0,4.0
Allview,P5 Quad,Android,1.0,170.0,True,Li-Ion,2100.0,4,1.2,8.0,1.0,4.0
Allview,P6 Stony,Android,1.0,200.0,False,Li-Po,2100.0,2,1.0,8.0,1.0,4.0
Allview,P4 Duo,Android,0.512,180.0,True,Li-Ion,1600.0,2,1.0,8.0,0.6,4.0
Allview,P5 Mini,Android,0.512,90.0,True,Li-Ion,1700.0,1,1.0,3.15,0.6,4.0
Allview,P4 AllDro,Android,0.512,200.0,True,Li-Ion,1600.0,1,1.0,8.0,0.6,4.0
Amazon,Fire Phone,Android,2.0,160.0,False,Li-Ion,2400.0,4,2.2,13.0,2.1,64.0
Apple,iPad 9.7,iOS,2.0,390.0,False,Li-Ion,8827.0,2,1.84,8.0,1.2,128.0
Apple,iPhone 7 Plus,iOS,3.0,900.0,False,Li-Ion,2900.0,4,2.34,12.0,7.0,256.0
Apple,iPhone SE,iOS,2.0,440.0,False,Li-Po,1624.0,2,1.84,12.0,1.2,128.0
Apple,iPhone 6s Plus,iOS,2.0,750.0,False,Li-Ion,2750.0,2,1.84,12.0,5.0,128.0
Apple,iPhone 6s,iOS,2.0,620.0,False,Li-Ion,1715.0,2,1.84,12.0,5.0,128.0
Apple,iPad Pro,iOS,4.0,850.0,False,Li-Ion,10.0,2,2.26,8.0,1.2,256.0
Apple,iPad mini 4,iOS,2.0,360.0,False,Li-Ion,5124.0,2,1.5,8.0,1.2,128.0
Apple,iPad Air 2,iOS,2.0,440.0,False,Li-Po,7340.0,3,1.5,8.0,1.2,128.0
Apple,iPad mini 3,iOS,1.0,400.0,False,Li-Po,6470.0,2,1.3,5.0,1.2,128.0
Apple,iPhone 6 Plus,iOS,1.0,700.0,False,Li-Po,2915.0,2,1.4,8.0,1.2,128.0
Apple,iPhone 6,iOS,1.0,540.0,False,Li-Po,1810.0,2,1.4,8.0,1.2,128.0
Apple,iPad Air,iOS,1.0,350.0,False,Li-Po,8600.0,2,1.3,5.0,1.2,128.0
Apple,iPad mini 2,iOS,1.0,270.0,False,Li-Po,6470.0,2,1.3,5.0,1.2,128.0
Apple,iPhone 5s,iOS,1.0,330.0,False,Li-Po,1560.0,2,1.3,8.0,1.2,64.0
Apple,iPhone 5c,iOS,1.0,300.0,False,Li-Po,1510.0,2,1.3,8.0,1.2,32.0
Apple,iPad mini Wi-Fi,iOS,0.512,200.0,False,Li-Po,4490.0,2,1.0,5.0,1.2,64.0
Apple,iPad mini Wi-Fi + Cellular,iOS,0.512,300.0,False,Li-Po,4490.0,2,1.0,5.0,1.2,64.0
Apple,iPad 4 Wi-Fi,iOS,1.0,350.0,False,Li-Po,11560.0,2,1.4,5.0,1.2,128.0
Apple,iPad 4 Wi-Fi + Cellular,iOS,1.0,500.0,False,Li-Po,11560.0,2,1.4,5.0,1.2,128.0
Apple,iPhone 5,iOS,1.0,340.0,False,Li-Po,1440.0,2,1.3,8.0,1.2,64.0
Apple,iPad 3 Wi-Fi + Cellular,iOS,1.0,400.0,False,Li-Po,11560.0,2,1.0,5.0,0.6,64.0
Apple,iPad 3 Wi-Fi,iOS,1.0,290.0,False,Li-Po,11560.0,2,1.0,5.0,0.6,64.0
Apple,iPhone 4s,iOS,0.512,190.0,False,Li-Po,1432.0,2,1.0,8.0,0.6,64.0
Apple,iPad 2 Wi-Fi + 3G,iOS,0.512,370.0,False,Li-Po,6930.0,2,1.0,0.7,0.6,64.0
Apple,iPad 2 Wi-Fi,iOS,0.512,200.0,False,Li-Po,6930.0,2,1.0,0.7,0.6,64.0
Apple,iPad 2 CDMA,iOS,0.512,200.0,False,Li-Po,6930.0,2,1.0,0.7,0.6,64.0
Apple,iPhone 4,iOS,0.512,200.0,False,Li-Po,1420.0,1,1.0,5.0,0.6,32.0
Archos,55 Graphite,Android,2.0,180.0,False,Li-Ion,3000.0,4,1.5,13.0,5.0,16.0
Archos,50 Graphite,Android,1.0,130.0,False,Li-Ion,2400.0,4,1.5,13.0,5.0,16.0
Archos,Diamond 2 Plus,Android,4.0,250.0,False,Li-Ion,2950.0,8,2.0,20.7,8.0,64.0
Archos,50d Helium 4G,Android,1.0,140.0,True,Li-Ion,2100.0,4,1.2,13.0,5.0,8.0
Archos,50b Helium 4G,Android,1.0,150.0,True,Li-Po,2000.0,4,1.2,8.0,2.0,8.0
Archos,50 Diamond,Android,2.0,200.0,False,Li-Po,2700.0,8,1.5,16.0,8.0,16.0
Archos,40 Cesium,Windows,0.512,80.0,True,Li-Ion,1700.0,4,1.2,5.0,2.0,4.0
Archos,80 Helium 4G,Android,1.0,280.0,True,Li-Ion,3500.0,4,1.2,5.0,2.0,8.0
Archos,64 Xenon,Android,1.0,240.0,True,Li-Ion,2800.0,4,1.3,8.0,2.0,4.0
Archos,50c Oxygen,Android,1.0,240.0,True,Li-Ion,2000.0,8,1.7,8.0,2.0,8.0
Archos,50 Helium 4G,Android,1.0,280.0,True,Li-Ion,2000.0,4,1.2,8.0,2.0,8.0
Archos,45 Helium 4G,Android,1.0,230.0,True,Li-Ion,1850.0,4,1.2,5.0,0.6,4.0
Asus,Zenfone Live ZB501KL,Android,2.0,150.0,False,Li-Ion,2650.0,4,1.2,13.0,5.0,32.0
Asus,Zenfone 3s Max ZC521TL,Android,3.0,230.0,False,Li-Po,5000.0,8,1.5,13.0,8.0,32.0
Asus,Zenpad 3S 10 Z500KL,Android,4.0,450.0,False,Li-Po,7800.0,6,1.4,8.0,5.0,32.0
Asus,Zenfone 3 Zoom ZE553KL,Android,4.0,550.0,False,Li-Ion,5000.0,8,2.0,12.0,13.0,128.0
Asus,Zenpad 3 8.0 Z581KL,Android,4.0,390.0,False,Li-Po,4680.0,6,1.4,8.0,2.0,32.0
Asus,Zenfone Go ZB500KL,Android,2.0,130.0,True,Li-Ion,2600.0,4,1.2,13.0,5.0,16.0
Asus,Zenfone 3 Deluxe 5.5 ZS550KL,Android,4.0,440.0,False,Li-Ion,3000.0,8,2.0,16.0,8.0,64.0
Asus,Zenpad Z10 ZT500KL,Android,3.0,360.0,False,Li-Po,7800.0,6,1.4,8.0,5.0,32.0
Asus,Zenfone Go ZB450KL,Android,1.0,110.0,True,Li-Po,2070.0,4,1.2,8.0,2.0,8.0
Asus,Zenfone Go ZB452KG,Android,1.0,90.0,True,Li-Po,2070.0,4,1.2,5.0,0.6,8.0
Asus,Zenfone Go ZB551KL,Android,2.0,150.0,True,Li-Ion,3010.0,4,1.6,8.0,5.0,32.0
Asus,Zenfone Go T500,Android,2.0,110.0,True,Li-Po,2500.0,4,1.2,8.0,5.0,16.0
Asus,Zenfone Go ZC451TG,Android,1.0,70.0,True,Li-Ion,1600.0,4,1.3,5.0,0.6,8.0
Asus,Live G500TG,Android,2.0,230.0,True,Li-Po,2070.0,4,1.3,8.0,2.0,16.0
Asus,Zenfone 2 Laser ZE551KL,Android,3.0,180.0,True,Li-Po,3000.0,8,1.7,13.0,5.0,32.0
Asus,Zenfone Zoom ZX551ML,Android,4.0,500.0,False,Li-Po,3000.0,4,2.5,13.0,5.0,128.0
Asus,Zenfone Go ZC500TG,Android,2.0,130.0,True,Li-Po,2070.0,4,1.3,8.0,2.0,16.0
Asus,Zenfone Max ZC550KL,Android,2.0,170.0,False,Li-Po,5000.0,4,1.2,13.0,5.0,16.0
Asus,Zenfone 2 Deluxe ZE551ML,Android,4.0,500.0,False,Li-Po,3000.0,4,2.3,13.0,5.0,128.0
Asus,Zenfone 2 Laser ZE601KL,Android,2.0,300.0,True,Li-Po,3000.0,8,1.7,13.0,5.0,16.0
Asus,Zenfone 2 Laser ZE600KL,Android,2.0,360.0,True,Li-Po,3000.0,8,1.7,13.0,5.0,16.0
Asus,Zenfone 2 Laser ZE500KL,Android,2.0,210.0,True,Li-Po,2400.0,4,1.2,13.0,5.0,16.0
Asus,Zenfone 2E,Android,1.0,110.0,False,Li-Po,2500.0,2,1.6,8.0,2.0,8.0
Asus,Pegasus 2 Plus,Android,3.0,300.0,False,Li-Po,3030.0,8,1.7,13.0,8.0,32.0
Asus,Zenpad 8.0 Z380KL,Android,1.0,280.0,False,Li-Po,4000.0,8,0.0,5.0,2.0,8.0
Asus,Zenfone 2 ZE500CL,Android,2.0,180.0,False,Li-Po,2500.0,2,1.6,8.0,2.0,16.0
Asus,Zenfone 2 ZE550ML,Android,2.0,250.0,False,Li-Po,3000.0,4,1.8,13.0,5.0,16.0
Asus,Zenfone C ZC451CG,Android,1.0,90.0,True,Li-Ion,2100.0,2,1.2,5.0,0.6,8.0
Asus,Pegasus,Android,2.0,80.0,True,Li-Po,2500.0,4,1.5,8.0,5.0,16.0
Asus,PadFone X mini,Android,1.0,160.0,True,Li-Ion,2060.0,2,1.6,5.0,2.0,8.0
Asus,Memo Pad 7 ME572CL,Android,2.0,240.0,False,Li-Ion,15.0,4,1.83,5.0,2.0,32.0
Asus,Memo Pad 7 ME572C,Android,2.0,240.0,False,Li-Po,15.0,4,1.83,5.0,2.0,32.0
Asus,Zenfone 4 A450CG,Android,1.0,100.0,True,Li-Po,1750.0,2,1.2,8.0,0.6,8.0
Asus,PadFone X,Android,2.0,320.0,False,Li-Po,2300.0,4,2.3,13.0,2.0,16.0
Asus,PadFone S,Android,2.0,250.0,False,Li-Po,2300.0,4,2.3,13.0,2.0,16.0
Asus,PadFone Infinity Lite,Android,2.0,510.0,False,Li-Po,2400.0,4,1.7,13.0,2.0,32.0
Asus,Zenfone 6 A601CG,Android,2.0,200.0,False,Li-Po,3230.0,2,1.6,13.0,2.0,32.0
Asus,Zenfone 6 A600CG,Android,2.0,250.0,False,Li-Po,3300.0,2,2.0,13.0,2.0,32.0
Asus,Zenfone 5 A501CG,Android,2.0,120.0,False,Li-Po,2110.0,2,1.2,8.0,2.0,8.0
Asus,Zenfone 5 A500CG,Android,2.0,130.0,False,Li-Po,2110.0,2,2.0,8.0,2.0,32.0
Asus,PadFone mini 4G (Intel),Android,1.0,300.0,True,Li-Ion,2060.0,2,1.6,5.0,2.0,8.0
Asus,PadFone mini (Intel),Android,1.0,210.0,False,Li-Po,1170.0,2,1.6,8.0,2.0,8.0
Asus,PadFone mini,Android,1.0,290.0,True,Li-Po,1500.0,4,1.4,8.0,2.0,16.0
Asus,PadFone Infinity 2,Android,2.0,730.0,False,Li-Po,2400.0,4,2.2,13.0,2.0,32.0
Asus,Fonepad 7,Android,1.0,220.0,False,Li-Po,3950.0,2,1.6,5.0,1.2,32.0
Asus,Fonepad Note FHD6,Android,2.0,350.0,False,Li-Po,3200.0,2,2.0,8.0,1.2,32.0
Asus,Fonepad,Android,1.0,260.0,False,Li-Ion,4270.0,1,1.2,3.15,1.2,16.0
Asus,PadFone Infinity,Android,2.0,1000.0,False,Li-Po,2400.0,4,1.7,13.0,2.0,64.0
Asus,Memo Pad ME172V,Android,1.0,110.0,False,Li-Po,4270.0,1,1.0,1.0,0.0,16.0
Asus,Google Nexus 7 Cellular,Android,1.0,230.0,False,Li-Ion,4325.0,4,1.2,1.2,0.0,32.0
Asus,PadFone 2,Android,2.0,450.0,False,Li-Ion,2140.0,4,1.5,13.0,1.2,64.0
Asus,Google Nexus 7,Android,1.0,150.0,False,Li-Ion,4325.0,4,1.2,1.2,0.0,32.0
Asus,Memo,Android,1.0,170.0,True,Li-Po,4400.0,2,1.2,5.0,1.2,32.0
Asus,PadFone,Android,1.0,300.0,True,Li-Ion,1520.0,2,1.5,8.0,0.6,64.0
